------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4014  |     0.7383  |   0.6719  |               |              6.8929  |
|          |      1  |      1.2637  |     0.8037  |   0.6974  |               |              7.2959  |
|          |      2  |      1.1963  |     0.8408  |   0.8166  |               |              7.6988  |
|          |      3  |      1.1250  |     0.8760  |   0.8170  |               |              8.0676  |
|          |      4  |      1.1172  |     0.8818  |   0.8441  |               |              8.4377  |
|          |      5  |      1.0918  |     0.8945  |   0.8481  |               |              8.8072  |
|          |      6  |      1.0449  |     0.9229  |   0.8730  |               |              9.1778  |
|          |      7  |      1.0176  |     0.9326  |   0.8969  |               |              9.5468  |
|          |      8  |      0.9683  |     0.9619  |   0.9176  |               |              9.9174  |
|          |      9  |      0.9238  |     0.9854  |   0.9289  |               |             10.2559  |
|          |   eval  |      0.9238  |     0.9854  |   0.9289  |       0.9386  |             10.4225  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4346  |     0.7168  |   0.5970  |               |              0.4043  |
|          |      1  |      1.2686  |     0.7988  |   0.6659  |               |              0.8051  |
|          |      2  |      1.1846  |     0.8398  |   0.8099  |               |              1.2107  |
|          |      3  |      1.1553  |     0.8496  |   0.6899  |               |              1.5792  |
|          |      4  |      1.1406  |     0.8672  |   0.8259  |               |              1.9511  |
|          |      5  |      1.0908  |     0.8945  |   0.8290  |               |              2.3209  |
|          |      6  |      1.0303  |     0.9316  |   0.8921  |               |              2.6911  |
|          |      7  |      1.0186  |     0.9336  |   0.9006  |               |              3.0623  |
|          |      8  |      0.9595  |     0.9717  |   0.9178  |               |              3.4320  |
|          |      9  |      0.9248  |     0.9912  |   0.9324  |               |              3.7723  |
|          |   eval  |      0.9248  |     0.9912  |   0.9324  |       0.9400  |              3.9401  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4141  |     0.7168  |   0.6202  |               |              0.4064  |
|          |      1  |      1.2500  |     0.8105  |   0.7506  |               |              0.8085  |
|          |      2  |      1.2080  |     0.8301  |   0.8100  |               |              1.2107  |
|          |      3  |      1.1396  |     0.8740  |   0.7900  |               |              1.5814  |
|          |      4  |      1.1201  |     0.8799  |   0.8648  |               |              1.9530  |
|          |      5  |      1.1006  |     0.8984  |   0.8660  |               |              2.3236  |
|          |      6  |      1.0137  |     0.9443  |   0.8912  |               |              2.6948  |
|          |      7  |      1.0156  |     0.9365  |   0.8999  |               |              3.0651  |
|          |      8  |      0.9678  |     0.9668  |   0.9171  |               |              3.4367  |
|          |      9  |      0.9365  |     0.9775  |   0.9314  |               |              3.7772  |
|          |   eval  |      0.9365  |     0.9775  |   0.9314  |       0.9398  |              3.9437  |
------------------------------------------------------------------------------------------------------
