------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4111  |     0.7168  |   0.6893  |               |              6.9390  |
|          |      1  |      1.2871  |     0.7939  |   0.6924  |               |              7.3485  |
|          |      2  |      1.1895  |     0.8555  |   0.8081  |               |              7.7570  |
|          |      3  |      1.1436  |     0.8604  |   0.8264  |               |              8.1309  |
|          |      4  |      1.1465  |     0.8701  |   0.8600  |               |              8.5040  |
|          |      5  |      1.1094  |     0.8877  |   0.8524  |               |              8.8786  |
|          |      6  |      1.0449  |     0.9209  |   0.8774  |               |              9.2519  |
|          |      7  |      1.0234  |     0.9336  |   0.8956  |               |              9.6267  |
|          |      8  |      0.9707  |     0.9561  |   0.9193  |               |             10.0002  |
|          |      9  |      0.9390  |     0.9805  |   0.9306  |               |             10.3436  |
|          |   eval  |      0.9390  |     0.9805  |   0.9306  |       0.9403  |             10.5099  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4062  |     0.7197  |   0.6849  |               |              0.4093  |
|          |      1  |      1.2822  |     0.8057  |   0.7149  |               |              0.8157  |
|          |      2  |      1.2070  |     0.8418  |   0.7960  |               |              1.2247  |
|          |      3  |      1.1406  |     0.8604  |   0.8303  |               |              1.5976  |
|          |      4  |      1.1348  |     0.8701  |   0.8426  |               |              1.9744  |
|          |      5  |      1.0781  |     0.9004  |   0.8518  |               |              2.3474  |
|          |      6  |      1.0439  |     0.9209  |   0.8823  |               |              2.7225  |
|          |      7  |      1.0117  |     0.9385  |   0.9029  |               |              3.0980  |
|          |      8  |      0.9790  |     0.9570  |   0.9180  |               |              3.4703  |
|          |      9  |      0.9443  |     0.9785  |   0.9316  |               |              3.8166  |
|          |   eval  |      0.9443  |     0.9785  |   0.9316  |       0.9394  |              3.9833  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4229  |     0.7070  |   0.6717  |               |              0.4106  |
|          |      1  |      1.2705  |     0.8027  |   0.7678  |               |              0.8186  |
|          |      2  |      1.1816  |     0.8477  |   0.6769  |               |              1.2302  |
|          |      3  |      1.1826  |     0.8398  |   0.8438  |               |              1.6047  |
|          |      4  |      1.1328  |     0.8672  |   0.8516  |               |              1.9807  |
|          |      5  |      1.0947  |     0.8867  |   0.8649  |               |              2.3546  |
|          |      6  |      1.0566  |     0.9082  |   0.8820  |               |              2.7296  |
|          |      7  |      1.0225  |     0.9258  |   0.8860  |               |              3.1050  |
|          |      8  |      0.9756  |     0.9648  |   0.9247  |               |              3.4788  |
|          |      9  |      0.9443  |     0.9766  |   0.9321  |               |              3.8247  |
|          |   eval  |      0.9443  |     0.9766  |   0.9321  |       0.9406  |              3.9912  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4541  |     0.6973  |   0.6388  |               |              0.4421  |
|          |      1  |      1.3027  |     0.7842  |   0.6124  |               |              0.8529  |
|          |      2  |      1.2061  |     0.8408  |   0.7690  |               |              1.2623  |
|          |      3  |      1.1504  |     0.8574  |   0.8425  |               |              1.6385  |
|          |      4  |      1.1221  |     0.8682  |   0.8200  |               |              2.0147  |
|          |      5  |      1.0947  |     0.8877  |   0.8715  |               |              2.3909  |
|          |      6  |      1.0332  |     0.9307  |   0.8883  |               |              2.7669  |
|          |      7  |      1.0146  |     0.9355  |   0.9035  |               |              3.1427  |
|          |      8  |      0.9653  |     0.9619  |   0.9205  |               |              3.5179  |
|          |      9  |      0.9424  |     0.9766  |   0.9330  |               |              3.8637  |
|          |   eval  |      0.9424  |     0.9766  |   0.9330  |       0.9403  |              4.0302  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4277  |     0.7021  |   0.6237  |               |              0.4776  |
|          |      1  |      1.2734  |     0.8047  |   0.6981  |               |              0.8866  |
|          |      2  |      1.2246  |     0.8232  |   0.7509  |               |              1.2977  |
|          |      3  |      1.1904  |     0.8438  |   0.8328  |               |              1.6731  |
|          |      4  |      1.1230  |     0.8779  |   0.8637  |               |              2.0504  |
|          |      5  |      1.0859  |     0.9033  |   0.8677  |               |              2.4251  |
|          |      6  |      1.0527  |     0.9053  |   0.8960  |               |              2.8011  |
|          |      7  |      1.0186  |     0.9365  |   0.9090  |               |              3.1783  |
|          |      8  |      0.9814  |     0.9541  |   0.9200  |               |              3.5536  |
|          |      9  |      0.9434  |     0.9795  |   0.9322  |               |              3.9016  |
|          |   eval  |      0.9434  |     0.9795  |   0.9322  |       0.9396  |              4.0697  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4316  |     0.7090  |   0.6944  |               |              0.4682  |
|          |      1  |      1.2666  |     0.8027  |   0.7679  |               |              0.8784  |
|          |      2  |      1.1846  |     0.8516  |   0.8068  |               |              1.2915  |
|          |      3  |      1.1504  |     0.8652  |   0.8387  |               |              1.6674  |
|          |      4  |      1.1299  |     0.8789  |   0.8325  |               |              2.0449  |
|          |      5  |      1.0986  |     0.8926  |   0.8267  |               |              2.4220  |
|          |      6  |      1.0527  |     0.9150  |   0.8933  |               |              2.7977  |
|          |      7  |      1.0205  |     0.9346  |   0.8924  |               |              3.1757  |
|          |      8  |      0.9639  |     0.9668  |   0.9242  |               |              3.5539  |
|          |      9  |      0.9341  |     0.9863  |   0.9315  |               |              3.9014  |
|          |   eval  |      0.9341  |     0.9863  |   0.9315  |       0.9397  |              4.0699  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4395  |     0.6973  |   0.6545  |               |              0.4668  |
|          |      1  |      1.2451  |     0.8154  |   0.7218  |               |              0.8781  |
|          |      2  |      1.2227  |     0.8213  |   0.8007  |               |              1.2917  |
|          |      3  |      1.1934  |     0.8389  |   0.8146  |               |              1.6699  |
|          |      4  |      1.1406  |     0.8584  |   0.8444  |               |              2.0488  |
|          |      5  |      1.0869  |     0.8906  |   0.8729  |               |              2.4257  |
|          |      6  |      1.0361  |     0.9170  |   0.8893  |               |              2.8033  |
|          |      7  |      1.0439  |     0.9277  |   0.9027  |               |              3.1812  |
|          |      8  |      0.9844  |     0.9492  |   0.9235  |               |              3.5571  |
|          |      9  |      0.9395  |     0.9805  |   0.9329  |               |              3.9049  |
|          |   eval  |      0.9395  |     0.9805  |   0.9329  |       0.9407  |              4.0731  |
