------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4014  |     0.7256  |   0.6860  |               |              8.5168  |
|          |      1  |      1.3145  |     0.7803  |   0.6789  |               |              8.8994  |
|          |      2  |      1.1953  |     0.8408  |   0.7843  |               |              9.2837  |
|          |      3  |      1.1660  |     0.8643  |   0.7658  |               |              9.6344  |
|          |      4  |      1.1611  |     0.8604  |   0.8225  |               |              9.9849  |
|          |      5  |      1.1123  |     0.8809  |   0.8185  |               |             10.3353  |
|          |      6  |      1.0615  |     0.9141  |   0.8895  |               |             10.6855  |
|          |      7  |      1.0430  |     0.9180  |   0.9014  |               |             11.0371  |
|          |      8  |      0.9829  |     0.9521  |   0.9166  |               |             11.3871  |
|          |      9  |      0.9653  |     0.9668  |   0.9281  |               |             11.7099  |
|          |   eval  |      0.9653  |     0.9668  |   0.9281  |       0.9354  |             11.8651  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4160  |     0.7129  |   0.6807  |               |              0.3884  |
|          |      1  |      1.2812  |     0.8086  |   0.6831  |               |              0.7723  |
|          |      2  |      1.2139  |     0.8301  |   0.7995  |               |              1.1581  |
|          |      3  |      1.1514  |     0.8604  |   0.7965  |               |              1.5086  |
|          |      4  |      1.1455  |     0.8584  |   0.8175  |               |              1.8604  |
|          |      5  |      1.0889  |     0.8994  |   0.8390  |               |              2.2124  |
|          |      6  |      1.0625  |     0.9111  |   0.8805  |               |              2.5625  |
|          |      7  |      1.0312  |     0.9238  |   0.8892  |               |              2.9155  |
|          |      8  |      1.0049  |     0.9424  |   0.9167  |               |              3.2664  |
|          |      9  |      0.9614  |     0.9746  |   0.9272  |               |              3.5904  |
|          |   eval  |      0.9614  |     0.9746  |   0.9272  |       0.9364  |              3.7466  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4307  |     0.7119  |   0.6856  |               |              0.4608  |
|          |      1  |      1.2676  |     0.8096  |   0.6995  |               |              0.8459  |
|          |      2  |      1.1953  |     0.8379  |   0.7078  |               |              1.2328  |
|          |      3  |      1.1816  |     0.8438  |   0.7962  |               |              1.5846  |
|          |      4  |      1.1465  |     0.8633  |   0.8610  |               |              1.9386  |
|          |      5  |      1.1045  |     0.8867  |   0.8590  |               |              2.2906  |
|          |      6  |      1.0654  |     0.9150  |   0.8893  |               |              2.6427  |
|          |      7  |      1.0391  |     0.9297  |   0.8940  |               |              2.9966  |
|          |      8  |      0.9878  |     0.9512  |   0.9161  |               |              3.3481  |
|          |      9  |      0.9609  |     0.9648  |   0.9266  |               |              3.6730  |
|          |   eval  |      0.9609  |     0.9648  |   0.9266  |       0.9357  |              3.8292  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4629  |     0.6738  |   0.6190  |               |              0.3920  |
|          |      1  |      1.3105  |     0.7646  |   0.7143  |               |              0.7790  |
|          |      2  |      1.2236  |     0.8125  |   0.8107  |               |              1.1671  |
|          |      3  |      1.1582  |     0.8506  |   0.8154  |               |              1.5198  |
|          |      4  |      1.1162  |     0.8770  |   0.8341  |               |              1.8724  |
|          |      5  |      1.1074  |     0.8750  |   0.8349  |               |              2.2262  |
|          |      6  |      1.0508  |     0.9180  |   0.8916  |               |              2.5804  |
|          |      7  |      1.0166  |     0.9395  |   0.8984  |               |              2.9328  |
|          |      8  |      0.9692  |     0.9678  |   0.9161  |               |              3.2851  |
|          |      9  |      0.9600  |     0.9668  |   0.9271  |               |              3.6096  |
|          |   eval  |      0.9600  |     0.9668  |   0.9271  |       0.9342  |              3.7660  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4395  |     0.6953  |   0.6437  |               |              0.3918  |
|          |      1  |      1.2549  |     0.8115  |   0.6784  |               |              0.7776  |
|          |      2  |      1.2227  |     0.8223  |   0.7721  |               |              1.1666  |
|          |      3  |      1.1914  |     0.8389  |   0.7440  |               |              1.5201  |
|          |      4  |      1.1230  |     0.8691  |   0.8583  |               |              1.8736  |
|          |      5  |      1.1094  |     0.8750  |   0.8497  |               |              2.2271  |
|          |      6  |      1.0615  |     0.9121  |   0.8852  |               |              2.5807  |
|          |      7  |      1.0293  |     0.9365  |   0.8890  |               |              2.9342  |
|          |      8  |      1.0029  |     0.9414  |   0.9151  |               |              3.2875  |
|          |      9  |      0.9653  |     0.9678  |   0.9284  |               |              3.6124  |
|          |   eval  |      0.9653  |     0.9678  |   0.9284  |       0.9361  |              3.7691  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4629  |     0.6885  |   0.6301  |               |              0.4258  |
|          |      1  |      1.2656  |     0.8115  |   0.6772  |               |              0.8133  |
|          |      2  |      1.2188  |     0.8135  |   0.7787  |               |              1.2022  |
|          |      3  |      1.1650  |     0.8438  |   0.7598  |               |              1.5555  |
|          |      4  |      1.1650  |     0.8555  |   0.8125  |               |              1.9102  |
|          |      5  |      1.0996  |     0.8877  |   0.8488  |               |              2.2654  |
|          |      6  |      1.0654  |     0.9131  |   0.8822  |               |              2.6196  |
|          |      7  |      1.0352  |     0.9258  |   0.8980  |               |              2.9740  |
|          |      8  |      0.9785  |     0.9639  |   0.9173  |               |              3.3283  |
|          |      9  |      0.9497  |     0.9775  |   0.9262  |               |              3.6540  |
|          |   eval  |      0.9497  |     0.9775  |   0.9262  |       0.9358  |              3.8111  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4414  |     0.6924  |   0.6106  |               |              0.3918  |
|          |      1  |      1.3008  |     0.7793  |   0.5640  |               |              0.7791  |
|          |      2  |      1.2393  |     0.8115  |   0.7583  |               |              1.1707  |
|          |      3  |      1.2002  |     0.8330  |   0.7735  |               |              1.5249  |
|          |      4  |      1.1504  |     0.8623  |   0.8465  |               |              1.8801  |
|          |      5  |      1.1016  |     0.8877  |   0.8588  |               |              2.2338  |
|          |      6  |      1.0605  |     0.9033  |   0.8681  |               |              2.5873  |
|          |      7  |      1.0488  |     0.9238  |   0.8799  |               |              2.9436  |
|          |      8  |      1.0068  |     0.9453  |   0.9172  |               |              3.2982  |
|          |      9  |      0.9575  |     0.9756  |   0.9263  |               |              3.6258  |
|          |   eval  |      0.9575  |     0.9756  |   0.9263  |       0.9351  |              3.7837  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4336  |     0.7109  |   0.5907  |               |              0.3951  |
|          |      1  |      1.2695  |     0.8008  |   0.7325  |               |              0.7850  |
|          |      2  |      1.2158  |     0.8223  |   0.7546  |               |              1.1747  |
|          |      3  |      1.1455  |     0.8623  |   0.8182  |               |              1.5287  |
|          |      4  |      1.1484  |     0.8672  |   0.8370  |               |              1.8832  |
|          |      5  |      1.1133  |     0.8955  |   0.8236  |               |              2.2392  |
|          |      6  |      1.0605  |     0.9072  |   0.8855  |               |              2.5940  |
|          |      7  |      1.0459  |     0.9209  |   0.8852  |               |              2.9492  |
|          |      8  |      0.9712  |     0.9609  |   0.9171  |               |              3.3058  |
