train_epochs,lr,weight_decay,label_smoothing,block1,block2,n_runs,exp_name,mean_acc,std_acc,mean_time,std_time
9.9,11.5,0.0153,0.2,48,128,3,te9.9_lr11.5_wd0.0153_ls0.2_b148_b2128,0.9288,0.0016,2.717,0.003
9.9,11.5,0.0153,0.2,48,192,3,te9.9_lr11.5_wd0.0153_ls0.2_b148_b2192,0.9357,0.0011,3.3096,0.0029
9.9,11.5,0.0153,0.2,64,128,3,te9.9_lr11.5_wd0.0153_ls0.2_b164_b2128,0.9328,0.0016,2.8205,0.0046
9.9,11.5,0.0153,0.2,64,192,3,te9.9_lr11.5_wd0.0153_ls0.2_b164_b2192,0.936,0.0001,3.4497,0.0051
9.9,11.5,0.01,0.2,48,128,3,te9.9_lr11.5_wd0.01_ls0.2_b148_b2128,0.9305,0.0001,2.7485,0.0073
9.9,11.5,0.01,0.2,48,192,3,te9.9_lr11.5_wd0.01_ls0.2_b148_b2192,0.9331,0.0013,3.3376,0.0099
9.9,11.5,0.01,0.2,64,128,3,te9.9_lr11.5_wd0.01_ls0.2_b164_b2128,0.9322,0.0023,2.8502,0.0007
9.9,11.5,0.01,0.2,64,192,3,te9.9_lr11.5_wd0.01_ls0.2_b164_b2192,0.9368,0.0005,3.4935,0.0478
9.9,13.0,0.0153,0.2,48,128,3,te9.9_lr13.0_wd0.0153_ls0.2_b148_b2128,0.927,0.0011,2.7621,0.0026
9.9,13.0,0.0153,0.2,48,192,3,te9.9_lr13.0_wd0.0153_ls0.2_b148_b2192,0.9353,0.0003,3.3493,0.0014
9.9,13.0,0.0153,0.2,64,128,3,te9.9_lr13.0_wd0.0153_ls0.2_b164_b2128,0.9332,0.0002,2.8486,0.0004
9.9,13.0,0.0153,0.2,64,192,3,te9.9_lr13.0_wd0.0153_ls0.2_b164_b2192,0.938,0.0007,3.5017,0.0512
9.9,13.0,0.01,0.2,48,128,3,te9.9_lr13.0_wd0.01_ls0.2_b148_b2128,0.9299,0.0005,2.7677,0.0023
9.9,13.0,0.01,0.2,48,192,3,te9.9_lr13.0_wd0.01_ls0.2_b148_b2192,0.9343,0.0018,3.3479,0.0008
9.9,13.0,0.01,0.2,64,128,3,te9.9_lr13.0_wd0.01_ls0.2_b164_b2128,0.9338,0.0004,2.8933,0.0476
9.9,13.0,0.01,0.2,64,192,3,te9.9_lr13.0_wd0.01_ls0.2_b164_b2192,0.9376,0.0006,3.5181,0.0329
9.9,15.0,0.0153,0.2,48,128,3,te9.9_lr15.0_wd0.0153_ls0.2_b148_b2128,0.9302,0.0004,2.7588,0.0035
9.9,15.0,0.0153,0.2,48,192,3,te9.9_lr15.0_wd0.0153_ls0.2_b148_b2192,0.9354,0.0013,3.3566,0.0022
9.9,15.0,0.0153,0.2,64,128,3,te9.9_lr15.0_wd0.0153_ls0.2_b164_b2128,0.9321,0.0007,2.8625,0.0168
9.9,15.0,0.0153,0.2,64,192,3,te9.9_lr15.0_wd0.0153_ls0.2_b164_b2192,0.9387,0.0027,3.5011,0.0392
9.9,15.0,0.01,0.2,48,128,3,te9.9_lr15.0_wd0.01_ls0.2_b148_b2128,0.9295,0.0006,2.7608,0.001
9.9,15.0,0.01,0.2,48,192,3,te9.9_lr15.0_wd0.01_ls0.2_b148_b2192,0.9356,0.0034,3.3585,0.0032
9.9,15.0,0.01,0.2,64,128,3,te9.9_lr15.0_wd0.01_ls0.2_b164_b2128,0.9303,0.0004,2.8467,0.0006
9.9,15.0,0.01,0.2,64,192,3,te9.9_lr15.0_wd0.01_ls0.2_b164_b2192,0.9362,0.0017,3.5176,0.0145
10.9,11.5,0.0153,0.2,48,128,3,te10.9_lr11.5_wd0.0153_ls0.2_b148_b2128,0.9321,0.0011,3.0286,0.0036
10.9,11.5,0.0153,0.2,48,192,3,te10.9_lr11.5_wd0.0153_ls0.2_b148_b2192,0.9361,0.0022,3.68,0.0061
10.9,11.5,0.0153,0.2,64,128,3,te10.9_lr11.5_wd0.0153_ls0.2_b164_b2128,0.9339,0.0008,3.1295,0.0051
10.9,11.5,0.0153,0.2,64,192,3,te10.9_lr11.5_wd0.0153_ls0.2_b164_b2192,0.9383,0.0007,3.8175,0.0013
10.9,11.5,0.01,0.2,48,128,3,te10.9_lr11.5_wd0.01_ls0.2_b148_b2128,0.9306,0.0011,3.0279,0.0024
10.9,11.5,0.01,0.2,48,192,3,te10.9_lr11.5_wd0.01_ls0.2_b148_b2192,0.9368,0.0004,3.6837,0.0034
10.9,11.5,0.01,0.2,64,128,3,te10.9_lr11.5_wd0.01_ls0.2_b164_b2128,0.9325,0.0009,3.1383,0.0167
10.9,11.5,0.01,0.2,64,192,3,te10.9_lr11.5_wd0.01_ls0.2_b164_b2192,0.9371,0.0003,3.8509,0.0505
10.9,13.0,0.0153,0.2,48,128,3,te10.9_lr13.0_wd0.0153_ls0.2_b148_b2128,0.9313,0.0002,3.0404,0.0003
10.9,13.0,0.0153,0.2,48,192,3,te10.9_lr13.0_wd0.0153_ls0.2_b148_b2192,0.9361,0.0006,3.6998,0.0113
10.9,13.0,0.0153,0.2,64,128,3,te10.9_lr13.0_wd0.0153_ls0.2_b164_b2128,0.9329,0.0006,3.1335,0.0028
10.9,13.0,0.0153,0.2,64,192,3,te10.9_lr13.0_wd0.0153_ls0.2_b164_b2192,0.9377,0.0011,3.8432,0.0324
10.9,13.0,0.01,0.2,48,128,3,te10.9_lr13.0_wd0.01_ls0.2_b148_b2128,0.9316,0.0004,3.0446,0.0011
10.9,13.0,0.01,0.2,48,192,3,te10.9_lr13.0_wd0.01_ls0.2_b148_b2192,0.9367,0.0018,3.6866,0.0007
10.9,13.0,0.01,0.2,64,128,3,te10.9_lr13.0_wd0.01_ls0.2_b164_b2128,0.9355,0.0006,3.128,0.0086
10.9,13.0,0.01,0.2,64,192,3,te10.9_lr13.0_wd0.01_ls0.2_b164_b2192,0.9387,0.0001,3.8233,0.0072
10.9,15.0,0.0153,0.2,48,128,3,te10.9_lr15.0_wd0.0153_ls0.2_b148_b2128,0.933,0.0013,3.0399,0.0045
10.9,15.0,0.0153,0.2,48,192,3,te10.9_lr15.0_wd0.0153_ls0.2_b148_b2192,0.9378,0.0004,3.6883,0.0041
10.9,15.0,0.0153,0.2,64,128,3,te10.9_lr15.0_wd0.0153_ls0.2_b164_b2128,0.932,0.0015,3.1299,0.0063
10.9,15.0,0.0153,0.2,64,192,3,te10.9_lr15.0_wd0.0153_ls0.2_b164_b2192,0.9382,0.0013,3.8333,0.0064
10.9,15.0,0.01,0.2,48,128,3,te10.9_lr15.0_wd0.01_ls0.2_b148_b2128,0.9323,0.0018,3.0389,0.004
10.9,15.0,0.01,0.2,48,192,3,te10.9_lr15.0_wd0.01_ls0.2_b148_b2192,0.9358,0.0001,3.6872,0.0013
10.9,15.0,0.01,0.2,64,128,3,te10.9_lr15.0_wd0.01_ls0.2_b164_b2128,0.9325,0.0004,3.1322,0.0008
10.9,15.0,0.01,0.2,64,192,3,te10.9_lr15.0_wd0.01_ls0.2_b164_b2192,0.9372,0.0008,3.8585,0.0317
