------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.8854  |     0.6826  |   0.6163  |               |              6.8438  |
|          |      1  |      1.7907  |     0.7969  |   0.7223  |               |              7.2561  |
|          |      2  |      1.7329  |     0.8457  |   0.8299  |               |              7.6694  |
|          |      3  |      1.7142  |     0.8506  |   0.8304  |               |              8.0488  |
|          |      4  |      1.7043  |     0.8633  |   0.8597  |               |              8.4277  |
|          |      5  |      1.6850  |     0.8809  |   0.8633  |               |              8.8086  |
|          |      6  |      1.6504  |     0.9248  |   0.8821  |               |              9.1884  |
|          |      7  |      1.3768  |     0.9209  |   0.8810  |               |              9.5679  |
|          |      8  |      0.6602  |     0.9434  |   0.8979  |               |              9.9484  |
|          |      9  |      0.1633  |     0.9668  |   0.9285  |               |             10.3016  |
|          |   eval  |      0.1633  |     0.9668  |   0.9285  |       0.9354  |             10.4695  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.8894  |     0.6865  |   0.6621  |               |              0.4152  |
|          |      1  |      1.7850  |     0.8105  |   0.7630  |               |              0.8287  |
|          |      2  |      1.7475  |     0.8340  |   0.8114  |               |              1.2431  |
|          |      3  |      1.7149  |     0.8613  |   0.8270  |               |              1.6233  |
|          |      4  |      1.6979  |     0.8828  |   0.8538  |               |              2.0055  |
|          |      5  |      1.6697  |     0.9111  |   0.8769  |               |              2.3868  |
|          |      6  |      1.6533  |     0.9199  |   0.8824  |               |              2.7671  |
|          |      7  |      1.3818  |     0.9189  |   0.8470  |               |              3.1490  |
|          |      8  |      0.6791  |     0.9424  |   0.9062  |               |              3.5297  |
|          |      9  |      0.1652  |     0.9707  |   0.9294  |               |              3.8799  |
|          |   eval  |      0.1652  |     0.9707  |   0.9294  |       0.9375  |              4.0500  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.8828  |     0.6836  |   0.6869  |               |              0.4154  |
|          |      1  |      1.7808  |     0.8008  |   0.7357  |               |              0.8275  |
|          |      2  |      1.7333  |     0.8457  |   0.7711  |               |              1.2429  |
|          |      3  |      1.7273  |     0.8359  |   0.8425  |               |              1.6240  |
|          |      4  |      1.7033  |     0.8701  |   0.8595  |               |              2.0065  |
|          |      5  |      1.6690  |     0.9150  |   0.8809  |               |              2.3886  |
|          |      6  |      1.6541  |     0.9160  |   0.8932  |               |              2.7691  |
|          |      7  |      1.3732  |     0.9238  |   0.8767  |               |              3.1506  |
|          |      8  |      0.6855  |     0.9258  |   0.9033  |               |              3.5323  |
|          |      9  |      0.1606  |     0.9727  |   0.9289  |               |              3.8835  |
|          |   eval  |      0.1606  |     0.9727  |   0.9289  |       0.9367  |              4.0537  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.8970  |     0.6748  |   0.6748  |               |              0.4957  |
|          |      1  |      1.7955  |     0.7803  |   0.7161  |               |              0.9104  |
|          |      2  |      1.7494  |     0.8350  |   0.7111  |               |              1.3246  |
|          |      3  |      1.7033  |     0.8711  |   0.8366  |               |              1.7076  |
|          |      4  |      1.6932  |     0.8672  |   0.8187  |               |              2.0900  |
|          |      5  |      1.6819  |     0.8867  |   0.8664  |               |              2.4732  |
|          |      6  |      1.6516  |     0.9209  |   0.8851  |               |              2.8539  |
|          |      7  |      1.3711  |     0.9209  |   0.8972  |               |              3.2380  |
|          |      8  |      0.6476  |     0.9463  |   0.8978  |               |              3.6202  |
|          |      9  |      0.1651  |     0.9648  |   0.9303  |               |              3.9718  |
|          |   eval  |      0.1651  |     0.9648  |   0.9303  |       0.9369  |              4.1418  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.8934  |     0.6807  |   0.6428  |               |              0.4169  |
|          |      1  |      1.7814  |     0.8174  |   0.7690  |               |              0.8314  |
|          |      2  |      1.7544  |     0.8223  |   0.7729  |               |              1.2481  |
|          |      3  |      1.7298  |     0.8311  |   0.8014  |               |              1.6305  |
|          |      4  |      1.6961  |     0.8809  |   0.8631  |               |              2.0139  |
|          |      5  |      1.6803  |     0.8926  |   0.8750  |               |              2.3953  |
|          |      6  |      1.6613  |     0.9072  |   0.8935  |               |              2.7771  |
|          |      7  |      1.3766  |     0.9248  |   0.8928  |               |              3.1598  |
|          |      8  |      0.6868  |     0.9355  |   0.8928  |               |              3.5419  |
|          |      9  |      0.1789  |     0.9639  |   0.9311  |               |              3.8933  |
|          |   eval  |      0.1789  |     0.9639  |   0.9311  |       0.9378  |              4.0644  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.9143  |     0.6611  |   0.6422  |               |              0.4176  |
|          |      1  |      1.7953  |     0.7900  |   0.7479  |               |              0.8331  |
|          |      2  |      1.7346  |     0.8467  |   0.8479  |               |              1.2511  |
|          |      3  |      1.7082  |     0.8730  |   0.8531  |               |              1.6344  |
|          |      4  |      1.7012  |     0.8604  |   0.8683  |               |              2.0162  |
|          |      5  |      1.6740  |     0.9004  |   0.8571  |               |              2.3989  |
|          |      6  |      1.6546  |     0.9131  |   0.8818  |               |              2.7814  |
|          |      7  |      1.3770  |     0.9219  |   0.8840  |               |              3.1632  |
|          |      8  |      0.6500  |     0.9551  |   0.9066  |               |              3.5462  |
|          |      9  |      0.1554  |     0.9707  |   0.9335  |               |              3.8982  |
|          |   eval  |      0.1554  |     0.9707  |   0.9335  |       0.9396  |              4.0690  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.8978  |     0.6729  |   0.5849  |               |              0.4439  |
|          |      1  |      1.7869  |     0.7822  |   0.7538  |               |              0.8583  |
|          |      2  |      1.7479  |     0.8340  |   0.7996  |               |              1.2747  |
|          |      3  |      1.7327  |     0.8262  |   0.8462  |               |              1.6566  |
|          |      4  |      1.6939  |     0.8877  |   0.8550  |               |              2.0407  |
|          |      5  |      1.6733  |     0.8994  |   0.8786  |               |              2.4233  |
|          |      6  |      1.6515  |     0.9082  |   0.8899  |               |              2.8053  |
|          |      7  |      1.3923  |     0.9219  |   0.8655  |               |              3.1895  |
|          |      8  |      0.6818  |     0.9307  |   0.8959  |               |              3.5706  |
|          |      9  |      0.1572  |     0.9707  |   0.9291  |               |              3.9232  |
|          |   eval  |      0.1572  |     0.9707  |   0.9291  |       0.9388  |              4.0949  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.8806  |     0.6924  |   0.6336  |               |              0.4366  |
|          |      1  |      1.7818  |     0.8096  |   0.7273  |               |              0.8536  |
|          |      2  |      1.7459  |     0.8330  |   0.8001  |               |              1.2713  |
|          |      3  |      1.7064  |     0.8848  |   0.8331  |               |              1.6565  |
|          |      4  |      1.7053  |     0.8652  |   0.8285  |               |              2.0390  |
|          |      5  |      1.6769  |     0.8926  |   0.8576  |               |              2.4238  |
|          |      6  |      1.6499  |     0.9219  |   0.8915  |               |              2.8074  |
|          |      7  |      1.3774  |     0.9258  |   0.8755  |               |              3.1919  |
|          |      8  |      0.6415  |     0.9551  |   0.8948  |               |              3.5756  |
|          |      9  |      0.1591  |     0.9717  |   0.9302  |               |              3.9294  |
|          |   eval  |      0.1591  |     0.9717  |   0.9302  |       0.9385  |              4.0993  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.8926  |     0.6895  |   0.6762  |               |              0.4780  |
|          |      1  |      1.8012  |     0.7832  |   0.6631  |               |              0.8936  |
|          |      2  |      1.7566  |     0.8115  |   0.7719  |               |              1.3138  |
|          |      3  |      1.7260  |     0.8525  |   0.7751  |               |              1.6988  |
|          |      4  |      1.6886  |     0.8896  |   0.8406  |               |              2.0830  |
|          |      5  |      1.6784  |     0.8975  |   0.8579  |               |              2.4670  |
|          |      6  |      1.6531  |     0.9180  |   0.8954  |               |              2.8506  |
|          |      7  |      1.3771  |     0.9209  |   0.8830  |               |              3.2354  |
|          |      8  |      0.6624  |     0.9375  |   0.8868  |               |              3.6185  |
|          |      9  |      0.1899  |     0.9590  |   0.9281  |               |              3.9718  |
|          |   eval  |      0.1899  |     0.9590  |   0.9281  |       0.9374  |              4.1419  |
------------------------------------------------------------------------------------------------------
