------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4580  |     0.6875  |   0.6303  |               |              6.9066  |
|          |      1  |      1.2637  |     0.8096  |   0.7876  |               |              7.3185  |
|          |      2  |      1.1953  |     0.8389  |   0.6827  |               |              7.7325  |
|          |      3  |      1.1631  |     0.8516  |   0.8208  |               |              8.1140  |
|          |      4  |      1.1553  |     0.8672  |   0.8284  |               |              8.4937  |
|          |      5  |      1.0840  |     0.9043  |   0.8717  |               |              8.8747  |
|          |      6  |      1.0615  |     0.9102  |   0.8737  |               |              9.2536  |
|          |      7  |      1.0010  |     0.9482  |   0.8968  |               |              9.6348  |
|          |      8  |      0.9761  |     0.9609  |   0.9194  |               |             10.0158  |
|          |      9  |      0.9517  |     0.9727  |   0.9307  |               |             10.3650  |
|          |   eval  |      0.9517  |     0.9727  |   0.9307  |       0.9381  |             10.5342  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4443  |     0.7002  |   0.6316  |               |              0.4152  |
|          |      1  |      1.2979  |     0.7852  |   0.7706  |               |              0.8282  |
|          |      2  |      1.1787  |     0.8418  |   0.8046  |               |              1.2453  |
|          |      3  |      1.1338  |     0.8730  |   0.8111  |               |              1.6255  |
|          |      4  |      1.1328  |     0.8740  |   0.8417  |               |              2.0079  |
|          |      5  |      1.1055  |     0.8857  |   0.8623  |               |              2.3885  |
|          |      6  |      1.0469  |     0.9199  |   0.8985  |               |              2.7703  |
|          |      7  |      1.0098  |     0.9414  |   0.8983  |               |              3.1523  |
|          |      8  |      0.9653  |     0.9629  |   0.9223  |               |              3.5330  |
|          |      9  |      0.9365  |     0.9795  |   0.9301  |               |              3.8851  |
|          |   eval  |      0.9365  |     0.9795  |   0.9301  |       0.9376  |              4.0530  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4531  |     0.7061  |   0.6579  |               |              0.4166  |
|          |      1  |      1.2734  |     0.7998  |   0.7698  |               |              0.8320  |
|          |      2  |      1.1934  |     0.8486  |   0.7848  |               |              1.2479  |
|          |      3  |      1.1670  |     0.8652  |   0.8234  |               |              1.6305  |
|          |      4  |      1.1309  |     0.8555  |   0.8571  |               |              2.0136  |
|          |      5  |      1.0859  |     0.9062  |   0.8562  |               |              2.3944  |
|          |      6  |      1.0312  |     0.9287  |   0.9007  |               |              2.7760  |
|          |      7  |      1.0225  |     0.9365  |   0.9023  |               |              3.1591  |
|          |      8  |      0.9814  |     0.9541  |   0.9158  |               |              3.5416  |
|          |      9  |      0.9507  |     0.9717  |   0.9305  |               |              3.8919  |
|          |   eval  |      0.9507  |     0.9717  |   0.9305  |       0.9392  |              4.0598  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4199  |     0.7129  |   0.6859  |               |              0.4176  |
|          |      1  |      1.2891  |     0.7939  |   0.7652  |               |              0.8327  |
|          |      2  |      1.2129  |     0.8281  |   0.7001  |               |              1.2488  |
|          |      3  |      1.1338  |     0.8662  |   0.8238  |               |              1.6311  |
|          |      4  |      1.1348  |     0.8760  |   0.8486  |               |              2.0137  |
|          |      5  |      1.0889  |     0.9082  |   0.8759  |               |              2.3948  |
|          |      6  |      1.0371  |     0.9219  |   0.8919  |               |              2.7771  |
|          |      7  |      1.0088  |     0.9492  |   0.8986  |               |              3.1590  |
|          |      8  |      0.9722  |     0.9590  |   0.9206  |               |              3.5415  |
|          |      9  |      0.9395  |     0.9814  |   0.9313  |               |              3.8929  |
