------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4053  |     0.7305  |   0.6770  |               |              7.0122  |
|          |      1  |      1.2471  |     0.8203  |   0.7837  |               |              7.4192  |
|          |      2  |      1.1553  |     0.8770  |   0.7994  |               |              7.8307  |
|          |      3  |      1.0859  |     0.9043  |   0.8620  |               |              8.2087  |
|          |      4  |      1.0996  |     0.8965  |   0.8823  |               |              8.5859  |
|          |      5  |      1.0469  |     0.9248  |   0.8731  |               |              8.9635  |
|          |      6  |      1.0088  |     0.9463  |   0.9055  |               |              9.3407  |
|          |      7  |      1.0059  |     0.9531  |   0.9079  |               |              9.7772  |
|          |      8  |      0.9805  |     0.9717  |   0.9156  |               |             10.1870  |
|          |      9  |      0.9736  |     0.9727  |   0.9170  |               |             10.5646  |
|          |   eval  |      0.9736  |     0.9727  |   0.9170  |       0.9268  |             10.7316  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4102  |     0.7100  |   0.6873  |               |              0.4121  |
|          |      1  |      1.2402  |     0.8311  |   0.7844  |               |              0.8200  |
|          |      2  |      1.1641  |     0.8652  |   0.8384  |               |              1.2320  |
|          |      3  |      1.1094  |     0.8916  |   0.8291  |               |              1.6082  |
|          |      4  |      1.0703  |     0.9170  |   0.8830  |               |              1.9872  |
|          |      5  |      1.0449  |     0.9326  |   0.8980  |               |              2.3648  |
|          |      6  |      1.0244  |     0.9365  |   0.8992  |               |              2.7404  |
|          |      7  |      1.0010  |     0.9590  |   0.9095  |               |              3.1499  |
|          |      8  |      0.9888  |     0.9648  |   0.9154  |               |              3.5583  |
|          |      9  |      0.9844  |     0.9658  |   0.9185  |               |              3.9355  |
|          |   eval  |      0.9844  |     0.9658  |   0.9185  |       0.9270  |              4.1051  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4082  |     0.7148  |   0.7008  |               |              0.4127  |
|          |      1  |      1.2559  |     0.8164  |   0.7928  |               |              0.8215  |
|          |      2  |      1.1650  |     0.8643  |   0.8315  |               |              1.2339  |
