------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4082  |     0.7207  |   0.7018  |               |              8.2071  |
|          |      1  |      1.3008  |     0.7793  |   0.5429  |               |              8.5104  |
|          |      2  |      1.2051  |     0.8252  |   0.7501  |               |              8.8148  |
|          |      3  |      1.1680  |     0.8623  |   0.7869  |               |              9.0883  |
|          |      4  |      1.1777  |     0.8447  |   0.8222  |               |              9.3591  |
|          |      5  |      1.1094  |     0.8711  |   0.8237  |               |              9.6316  |
|          |      6  |      1.0625  |     0.9082  |   0.8809  |               |              9.9018  |
|          |      7  |      1.0508  |     0.9131  |   0.8862  |               |             10.1763  |
|          |      8  |      0.9990  |     0.9463  |   0.9136  |               |             10.4477  |
|          |      9  |      0.9766  |     0.9609  |   0.9268  |               |             10.6985  |
|          |   eval  |      0.9766  |     0.9609  |   0.9268  |       0.9338  |             10.8213  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4385  |     0.6924  |   0.6696  |               |              0.3104  |
|          |      1  |      1.2979  |     0.7881  |   0.7024  |               |              0.6157  |
|          |      2  |      1.2305  |     0.8223  |   0.8060  |               |              0.9199  |
|          |      3  |      1.1689  |     0.8506  |   0.7547  |               |              1.1925  |
|          |      4  |      1.1562  |     0.8682  |   0.8579  |               |              1.4653  |
|          |      5  |      1.0938  |     0.9004  |   0.8549  |               |              1.7374  |
|          |      6  |      1.0615  |     0.9180  |   0.8793  |               |              2.0104  |
|          |      7  |      1.0381  |     0.9258  |   0.8667  |               |              2.2827  |
|          |      8  |      1.0107  |     0.9365  |   0.9129  |               |              2.5558  |
|          |      9  |      0.9731  |     0.9609  |   0.9257  |               |              2.8078  |
|          |   eval  |      0.9731  |     0.9609  |   0.9257  |       0.9330  |              2.9299  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4434  |     0.7100  |   0.6306  |               |              0.3111  |
|          |      1  |      1.2715  |     0.8047  |   0.6721  |               |              0.6163  |
|          |      2  |      1.2207  |     0.8291  |   0.7065  |               |              0.9221  |
|          |      3  |      1.1904  |     0.8398  |   0.8326  |               |              1.1961  |
|          |      4  |      1.1660  |     0.8574  |   0.8490  |               |              1.4690  |
|          |      5  |      1.1133  |     0.8818  |   0.8631  |               |              1.7424  |
|          |      6  |      1.0840  |     0.8857  |   0.8798  |               |              2.0154  |
|          |      7  |      1.0352  |     0.9297  |   0.8594  |               |              2.2883  |
|          |      8  |      1.0068  |     0.9443  |   0.9142  |               |              2.5610  |
|          |      9  |      0.9805  |     0.9531  |   0.9254  |               |              2.8128  |
|          |   eval  |      0.9805  |     0.9531  |   0.9254  |       0.9343  |              2.9360  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4531  |     0.6934  |   0.6785  |               |              0.3107  |
|          |      1  |      1.2979  |     0.7881  |   0.6890  |               |              0.6172  |
|          |      2  |      1.2090  |     0.8359  |   0.7848  |               |              0.9322  |
|          |      3  |      1.1650  |     0.8496  |   0.8240  |               |              1.2071  |
|          |      4  |      1.1426  |     0.8516  |   0.7875  |               |              1.4808  |
|          |      5  |      1.1133  |     0.8799  |   0.8029  |               |              1.7548  |
|          |      6  |      1.0645  |     0.9053  |   0.8624  |               |              2.0286  |
|          |      7  |      1.0498  |     0.9150  |   0.8982  |               |              2.3025  |
|          |      8  |      0.9902  |     0.9541  |   0.9054  |               |              2.5764  |
|          |      9  |      0.9678  |     0.9619  |   0.9243  |               |              2.8303  |
|          |   eval  |      0.9678  |     0.9619  |   0.9243  |       0.9311  |              2.9529  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4512  |     0.6797  |   0.6433  |               |              0.3094  |
|          |      1  |      1.2969  |     0.7988  |   0.6873  |               |              0.6153  |
|          |      2  |      1.2412  |     0.8174  |   0.7514  |               |              0.9227  |
|          |      3  |      1.1963  |     0.8408  |   0.7614  |               |              1.1965  |
|          |      4  |      1.1387  |     0.8662  |   0.8350  |               |              1.4694  |
|          |      5  |      1.1152  |     0.8838  |   0.8419  |               |              1.7435  |
|          |      6  |      1.0791  |     0.9043  |   0.8845  |               |              2.0169  |
|          |      7  |      1.0479  |     0.9219  |   0.8881  |               |              2.2907  |
|          |      8  |      1.0176  |     0.9307  |   0.9091  |               |              2.5639  |
|          |      9  |      0.9824  |     0.9580  |   0.9240  |               |              2.8164  |
|          |   eval  |      0.9824  |     0.9580  |   0.9240  |       0.9326  |              2.9411  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4453  |     0.6982  |   0.6159  |               |              0.3091  |
|          |      1  |      1.2676  |     0.8115  |   0.7429  |               |              0.6152  |
|          |      2  |      1.2373  |     0.8135  |   0.8019  |               |              0.9265  |
|          |      3  |      1.1641  |     0.8623  |   0.7656  |               |              1.1995  |
|          |      4  |      1.1660  |     0.8525  |   0.8348  |               |              1.4725  |
|          |      5  |      1.1162  |     0.8926  |   0.8209  |               |              1.7469  |
|          |      6  |      1.0850  |     0.8994  |   0.8782  |               |              2.0228  |
|          |      7  |      1.0449  |     0.9160  |   0.8839  |               |              2.2965  |
|          |      8  |      0.9868  |     0.9629  |   0.9147  |               |              2.5698  |
|          |      9  |      0.9697  |     0.9688  |   0.9228  |               |              2.8243  |
|          |   eval  |      0.9697  |     0.9688  |   0.9228  |       0.9316  |              2.9490  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4463  |     0.6992  |   0.5915  |               |              0.3100  |
|          |      1  |      1.3330  |     0.7666  |   0.6378  |               |              0.6179  |
|          |      2  |      1.2559  |     0.8057  |   0.7233  |               |              0.9266  |
|          |      3  |      1.2314  |     0.8252  |   0.6851  |               |              1.2024  |
|          |      4  |      1.1582  |     0.8604  |   0.8460  |               |              1.4759  |
|          |      5  |      1.1055  |     0.8887  |   0.8534  |               |              1.7513  |
|          |      6  |      1.0635  |     0.9121  |   0.8535  |               |              2.0246  |
|          |      7  |      1.0645  |     0.9092  |   0.8730  |               |              2.3009  |
|          |      8  |      1.0156  |     0.9346  |   0.9116  |               |              2.5755  |
|          |      9  |      0.9761  |     0.9590  |   0.9273  |               |              2.8266  |
|          |   eval  |      0.9761  |     0.9590  |   0.9273  |       0.9332  |              2.9516  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4316  |     0.7021  |   0.6457  |               |              0.3464  |
|          |      1  |      1.2969  |     0.7793  |   0.6458  |               |              0.6521  |
|          |      2  |      1.2285  |     0.8154  |   0.7259  |               |              0.9610  |
|          |      3  |      1.1748  |     0.8467  |   0.8122  |               |              1.2358  |
|          |      4  |      1.1533  |     0.8652  |   0.8368  |               |              1.5104  |
|          |      5  |      1.1123  |     0.8848  |   0.8346  |               |              1.7848  |
|          |      6  |      1.0684  |     0.9102  |   0.8652  |               |              2.0603  |
|          |      7  |      1.0625  |     0.9062  |   0.8689  |               |              2.3360  |
|          |      8  |      0.9897  |     0.9512  |   0.9110  |               |              2.6107  |
|          |      9  |      0.9795  |     0.9609  |   0.9228  |               |              2.8638  |
|          |   eval  |      0.9795  |     0.9609  |   0.9228  |       0.9309  |              2.9883  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4033  |     0.7324  |   0.6453  |               |              0.3777  |
|          |      1  |      1.3164  |     0.7695  |   0.4886  |               |              0.6858  |
|          |      2  |      1.2305  |     0.8213  |   0.7912  |               |              0.9921  |
|          |      3  |      1.1924  |     0.8369  |   0.8107  |               |              1.2685  |
|          |      4  |      1.1191  |     0.8799  |   0.7790  |               |              1.5425  |
|          |      5  |      1.1191  |     0.8701  |   0.8436  |               |              1.8194  |
|          |      6  |      1.0625  |     0.9121  |   0.8920  |               |              2.0965  |
|          |      7  |      1.0459  |     0.9150  |   0.8933  |               |              2.3705  |
|          |      8  |      1.0078  |     0.9414  |   0.9148  |               |              2.6457  |
|          |      9  |      0.9849  |     0.9570  |   0.9240  |               |              2.8997  |
|          |   eval  |      0.9849  |     0.9570  |   0.9240  |       0.9354  |              3.0240  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4893  |     0.6562  |   0.6044  |               |              0.3116  |
